X,Y,OBJECTID,BUSLIC_ID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,OUTOFSERV,VACANT,STATUS,DATETIME,SIGNID
-122.33519445669458,47.602895658695402,1,669339,692447,SP PLUS CORPORATION,US BANK GARAGE,BILL BEATTIE,2063818552           ,"721 1ST AVE, SEATTLE, WA 98104",503,,6:00am - 9:00pm,10:00am - 2:30am,10:00am - 10:00pm,GARAGE,3,6,9,,7,Central,(206) 624-1755,,http://seattleparking.spplus.com/Seattle-721-1st-Avenue-Parking.html,,N,1ST & COLUMBIA GARAGE,15,Y,361,361,2017-10-01T16:53:07.000Z,G16
-122.331671481449916,47.611947660007885,2,619449,656903,WASHINGTON STATE CONVENTION CENTER - PFD,WASHINGTON STATE CONVENTION CENTER - PFD,JEFF BLOSSER,2066945025           ,"800 CONVENTION PL, SEATTLE, WA 98101-2350",805,Convention Center,5:30am - 12:00am,5:30am - 12:00am,5:30am - 12:00am,GARAGE,5,8,10,29,,,(206) 694-5000,,http://www.wscc.com/parking-directions,,N,CONVENTION CENTER GARAGE,27,N,585,OPEN,2017-10-01T16:51:56.000Z,G9
-122.335884616774976,47.608691611516214,3,623779,660161,REPUBLIC PARKING N W INC,REPUBLIC PARKING #30-103 - PUGET SOUND PLAZA/COBB,GARY BECK,2067834144           ,"1325 4TH AVE, SEATTLE, WA 98101",591,30-103 PS Plaza/Cobb Building,,,,GARAGE,10,13,17,35,,Republic Parking Northwest,,,http://www.rpnw.com/lot/seattle/30-103,,N,PSP/COBB GARAGE,8,N,483,483,2017-10-01T16:51:56.000Z,G7
-122.333076830993107,47.602382261303418,4,0,2000029,,,,,"114 JAMES ST, SEATTLE, WA   98104",435,Butler Garage,6:30am - 10:00pm,10:00am - 2:00am,Closed,GARAGE,4,11.5,,25,11,,,,,,N,BUTLER GARAGE,12,Y,272,262,2017-10-01T16:53:07.000Z,G17
-122.356800620564044,47.633832348449289,5,574596,625137,DIAMOND PARKING SERVICES LLC,DIAMOND PARKING #A826,JONATHAN DIAMOND,2062843100           ,"1600 QUEEN ANNE AV N, SEATTLE, WA   98109",13,,,,,SURFACE LOT,,,,,,,,,http://www.diamondparking.com/find-parking-locations/details/?code=A826,,N,DIAMOND,0,,,,,
-122.356651275955286,47.639807439564464,6,574687,577229,DIAMOND PARKING SERVICES LLC,DIAMOND PARKING #A917,JONATHAN DIAMOND,2062846303           ,"2402 QUEEN ANNE AV N, SEATTLE, WA   98109",95,,,,,SURFACE LOT,,,,,,,,,http://www.diamondparking.com/find-parking-locations/details/?code=A917,,N,DIAMOND,0,,,,,
-122.318097010923964,47.674365422461612,7,519699,584052,DIAMOND PARKING SERVICES LLC,DIAMOND PARKING #WU01,JONATHAN DIAMOND,2062846303           ,"6300 9TH AV NE, SEATTLE, WA   98115",55,Seattle Healing Arts,,,,SURFACE LOT,,,,,,,,,http://www.diamondparking.com/find-parking-locations/details/?code=WU01,,N,DIAMOND,0,,,,,
-122.304879047059742,47.663772475478005,8,624004,660329,REPUBLIC PARKING N W INC,REPUBLIC PARKING #46 - IVY RIDGE APTS,GARY BECK,2067834144           ,"4730 21ST AVE NE, SEATTLE, WA 98105",11,Ivy Ridge,,,,SURFACE LOT,3,3,5,10,,,,,http://www.rpnw.com/lot/seattle/30-046,,N,,,,,,,
-122.318144763257237,47.662550681239956,9,534467,593924,DIAMOND PARKING SERVICES LLC,DIAMOND  #WU09,JONATHAN DIAMOND,2062843100           ,"4550 9TH AV NE, SEATTLE, WA   98105",31,Sundance,,,,SURFACE LOT,,,,,,,,,http://www.diamondparking.com/find-parking-locations/details/?code=WU09,,N,DIAMOND,0,,,,,
-122.328677423138714,47.614502071943761,10,0,2000024,,OLIVETTI BUILDING 41181,, ,,30,OLIVETTI #41181,Self park location,Self park location,Self park location,GARAGE,7,10,10,10,,Standard Parking Plus,(206) 381-8552,,,,N,Standard,,,,,,
