NOLAN PRIOR LLC,LLC*Limited Liability Co,NOLAN PRIOR LLC,525930,,05/01/2010 07:00:00 AM,"SEATTLE, WA 98136-1872",2011,98136
NEWMAN JESSICA,Sole Proprietor,JESKA NEWMAN HAIR,812112,Beauty Salons,06/07/2010 07:00:00 AM,"SEATTLE, WA 98115-6616",2011,98115
AWB ENGINEERING INC,Corporation,AWB ENGINEERING,541330,Engineering Services,01/01/2011 08:00:00 AM,"SEATTLE, WA 98116-4553",2011,98116
GROUP HEALTH COOPERATIVE,Corporation,GROUP HEALTH COOPERATIVE,622110,General Medical and Surgical Hospitals,05/01/1949 08:00:00 AM,"SEATTLE, WA 98109-5233",2011,98109
KELLY SERVICES INC,Corporation,KELLY SERVICES INC,561311,Employment Placement Agencies,01/01/2011 08:00:00 AM,"SEATTLE, WA 98101-1385",2011,98101
BEN BRIDGE JEWELER INC,Corporation,BEN BRIDGE JEWELER INC,448310,Jewelry Stores,07/11/2008 07:00:00 AM,"SEATTLE, WA 98105-5031",2011,98105
BEN BRIDGE JEWELER INC,Corporation,PANDORA BY BEN BRIDGE,448310,Jewelry Stores,09/24/2010 07:00:00 AM,"SEATTLE, WA 98105-5023",2011,98105
NORTHWEST CENTER,Corporation,NWC KIDS - CHINOOK,624110,Child and Youth Services,11/29/2010 08:00:00 AM,"SEATTLE, WA 98104-1818",2011,98104
BOYS & GIRLS CLUBS OF KING COUNTY,Corporation,NORTH SEATTLE BOYS & GIRLS CLUB - BETHANY,624410,Child Day Care Services,01/01/2011 08:00:00 AM,"SEATTLE, WA 98103-4446",2011,98103
SEATTLE VETERINARY ASSOC PS,Corporation,NORTHWEST VETERINARY HOSPITAL,541940,Veterinary Services,07/01/2008 07:00:00 AM,"SEATTLE, WA 98103-6763",2011,98103
NORTH COAST ELECTRIC COMPANY,Corporation,NORTH COAST LIGHTING,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",01/01/2007 08:00:00 AM,"SEATTLE, WA 98108-3406",2011,98108
MARTS SALLY D,Sole Proprietor,S D M DESIGN,541430,Graphic Design Services,02/05/1975 08:00:00 AM,"SEATTLE, WA 98136-2621",2011,98136
SEATTLE CHILDRENS HOSPITAL,Corporation,SEATTLE CHILDRENS AUTISM CENTER,622110,General Medical and Surgical Hospitals,08/01/2009 07:00:00 AM,"SEATTLE, WA 98105-4107",2011,98105
SEATTLE CHILDRENS HOSPITAL,Corporation,SEATTLE CHILDRENS DENTAL SURGERY CENTER,622110,General Medical and Surgical Hospitals,10/01/2010 07:00:00 AM,"SEATTLE, WA 98115-8158",2011,98115
SEATTLE CHILDRENS HOSPITAL,Corporation,SEATTLE CHILDRENS HOSPITAL MET PARK WEST,622110,General Medical and Surgical Hospitals,12/01/2004 08:00:00 AM,"SEATTLE, WA 98101-1835",2011,98101
