OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,Shape,SHAPE_LNG,SHAPE_LAT
1,675749,16,10742,177,-31,BKR-3937,BKR,GREENWOOD AVE N 0750 BLOCK E SIDE ( 164) 76 FT S/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT, , ,BKR-INVRU, ,,E, ,PLANNED,DISTRICT6, ,N,,"(47.68377236600003, -122.35517174899996)",-122.355171749915002,47.683772365876798
2,591426,16,14899,19,-29,BKR-3183,BKR,E UNION ST 0210 BLOCK S SIDE (   6) 6 FT E/O 21ST AVE                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,11/30/2012 12:00:00 AM +0000,SUFMT, ,SDOT,BKR-RLRCK,GOOD,10/20/2012 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.612842485000044, -122.30487111899998)",-122.304871120610002,47.612842485160101
3,518073,16,21531,204,-29,BKR-611,BKR,S WELLER ST 0050 BLOCK S SIDE ( 184) 113 FT W/O 6TH AVE S                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,11/22/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,S,SDOT,INSVC,DISTRICT2, ,N,,"(47.59743622700006, -122.32685179399999)",-122.326851794955999,47.597436227171194
4,667242,16,14225,99,-24,BKR-3884,BKR,E JEFFERSON ST 0170 BLOCK S SIDE (  87) 87 FT E/O 17TH AVE                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,02/10/2017 12:00:00 AM +0000,SUFMT,NONE, ,BKR-INVRU,GOOD,02/10/2017 12:00:00 AM +0000,S, ,INSVC,DISTRICT3, ,N,,"(47.60610807200004, -122.30984912599996)",-122.309849127402003,47.606108071567895
5,663398,16,20482,110,-25,BKR-3810,BKR,S JACKSON ST 0010 BLOCK S SIDE (  85) 85 FT E/O 1ST AVE S                                                                                                                                                                                                      ,SGL,2,N,OTHER,PCC,01/24/2017 12:00:00 AM +0000, , , , ,GOOD,01/24/2017 12:00:00 AM +0000,S, ,INSVC,DISTRICT2,DISTRICT7,N,,"(47.599135630000035, -122.33374361699998)",-122.333743618269011,47.599135630137894
6,518586,16,14355,441,24,BKR-2847,BKR,E MADISON ST 0230 BLOCK NW SIDE ( 428) 52 FT SW/O 24TH AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/28/2009 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.62008191800004, -122.30137362699998)",-122.30137362837101,47.620081918454602
7,518369,16,8794,217,30,BKR-2585,BKR,ALKI AVE SW 0253 BLOCK SE SIDE ( 204) 28 FT NE/O MARINE AVE SW                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,08/17/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT1, ,N,,"(47.580472214000054, -122.40683060899994)",-122.406830610077009,47.580472213848502
8,517666,16,20482,126,25,BKR-1371,BKR,S JACKSON ST 0010 BLOCK N SIDE ( 101) 101 FT E/O 1ST AVE S                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,N,SDOT,INSVC,DISTRICT2,DISTRICT7,N,,"(47.599272608000035, -122.33367849599995)",-122.333678497288005,47.599272608055301
9,518644,16,12022,122,27,BKR-1982,BKR,OCCIDENTAL AVE S 0010 BLOCK E SIDE ( 102) 102 FT S/O YESLER WAY                                                                                                                                                                                                ,SGL,2,N,GALV,BR,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,10/15/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT7, ,N,,"(47.60138708300008, -122.33276546299999)",-122.332765463946004,47.601387082673398
10,517436,16,14631,187,32,BKR-1853,BKR,E PINE ST 0060 BLOCK N SIDE ( 167) 68 FT W/O BOYLSTON AVE                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,03/17/2008 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.61531711100008, -122.32371920799994)",-122.323719209122004,47.615317110640099
11,517570,16,10742,143,31,BKR-995,BKR,GREENWOOD AVE N 0750 BLOCK W SIDE ( 130) 110 FT S/O N 76TH ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC-PAD,03/10/2009 12:00:00 AM +0000,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/31/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT6, ,N,,"(47.683679392000045, -122.35542339499995)",-122.355423396749998,47.683679391662196
12,517446,16,14847,279.5,-19,BKR-1330,BKR,E THOMAS ST 0080 BLOCK S SIDE ( 267) 36 FT W/O BROADWAY E                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/21/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.62102232800004, -122.32109487299999)",-122.321094874244011,47.621022327576597
13,639122,16,15956,98,27,BKR-3614,BKR,N 85TH ST 0110 BLOCK N SIDE (  75) 75 FT E/O AURORA AVE N                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,10/22/2015 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,10/01/2016 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT5,DISTRICT6,N,,"(47.690633587000036, -122.34412396399995)",-122.34412396583501,47.690633587407298
14,518300,16,9375,51,-30,BKR-912,BKR,BOYLSTON AVE 0160 BLOCK E SIDE (  31) 31 FT N/O E PINE ST                                                                                                                                                                                                      ,SGL,8,N,GALV,PCC,12/20/2007 12:00:00 AM +0000,SUFMT,NONE,BKR-CORA,BKR-W4508,GOOD,07/21/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.61537175500007, -122.32329643699995)",-122.323296437931006,47.615371755038595
15,518453,16,18281,80,-17,BKR-2211,BKR,NW CANAL ST 0009 BLOCK N SIDE (  67) 67 FT W/O 1ST AVE NW                                                                                                                                                                                                      ,SGL,4,N,OTHER,BR,, ,NONE, , ,GOOD,09/27/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT6, ,N,,,-127.390658288157013,46.808300079110097
16,583327,16,9045,132,29,BKR-3127,BKR,BALLARD AVE NW 0530 BLOCK SW SIDE ( 122) 122 FT NW/O NW VERNON PL                                                                                                                                                                                              ,SGL,2,N,GALV,PCC,05/23/2012 12:00:00 AM +0000, , , ,BKR-INVRU, ,,SW,SDOT,OUTSVC,DISTRICT6, ,N,,"(47.66664235500008, -122.38362414499994)",-122.383624145908996,47.666642355410197
17,518576,16,14364,259,-27,BKR-618,BKR,E MADISON ST 0290 BLOCK SE SIDE ( 239) 239 FT NE/O 29TH E AVE E                                                                                                                                                                                                ,SGL,2,N,GALV,PCC,12/05/2002 12:00:00 AM +0000,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/19/2009 12:00:00 AM +0000,SE,SDOT,INSVC,DISTRICT3, ,N,,"(47.62465563000006, -122.29429731999994)",-122.294297321019997,47.624655630285901
18,517442,16,14633,197,-24,BKR-1155,BKR,E PINE ST 0080 BLOCK S SIDE ( 175) 127 FT W/O BROADWAY                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.61516581600006, -122.32133177699995)",-122.321331778185012,47.615165816137896
19,518560,16,10743,60,31,BKR-2206,BKR,GREENWOOD AVE N 0760 BLOCK W SIDE (  47) 47 FT N/O N 76TH ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,08/03/2009 12:00:00 AM +0000,W,SDOT,INSVC,DISTRICT6, ,N,,"(47.68418215000003, -122.35542371799994)",-122.355423718954,47.684182149810297
20,518792,16,14904,272,-24,BKR-1195,BKR,E UNION ST 0260 BLOCK S SIDE ( 259) 37 FT W/O 27TH AVE                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,07/22/2009 12:00:00 AM +0000,S,SDOT,INSVC,DISTRICT3, ,N,,"(47.612869111000066, -122.29770584699997)",-122.297705848012001,47.6128691113882
21,609798,16,14355,63,24,BKR-3350,BKR,E MADISON ST 0230 BLOCK NW SIDE (  50) 50 FT NE/O 23RD AVE E                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,01/06/2014 12:00:00 AM +0000,SUFMT, , ,BKR-INVRU,GOOD,06/01/2015 12:00:00 AM +0000,NW,SDOT,INSVC,DISTRICT3, ,N,,"(47.61934024200008, -122.30243955299994)",-122.30243955448401,47.619340242024002
22,518478,16,14629,73,34,BKR-1148,BKR,E PINE ST 0041 BLOCK N SIDE (  66) 66 FT E/O CRAWFORD PL                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,07/20/2009 12:00:00 AM +0000,N,SDOT,INSVC,DISTRICT3, ,N,,"(47.615309754000066, -122.32589316199994)",-122.325893163846999,47.615309754178597
23,518267,16,9454,192,-30,BKR-2796,BKR,BROADWAY E 0040 BLOCK E SIDE ( 180) 180 FT N/O E HARRISON ST                                                                                                                                                                                                   ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-CRRKB,GOOD,09/30/2009 12:00:00 AM +0000,E,SDOT,INSVC,DISTRICT3, ,N,,"(47.62251423600003, -122.32079285999998)",-122.320792861740003,47.622514236391496
